-3, -3
-3, -3
-3, -3
-3, -3
-3, -3
-3, -3
-3, -3
-3, -3
-3, -3
-3, -3
-3, -3
-3, -3
-3, -3
-3, -3
-3, -3
-3, -3
-3, -3
-2.999978, -2.963302
-2.999775, -2.854128
-2.999522, -2.734128
-2.999276, -2.614129
-2.999034, -2.49413
-2.998798, -2.374132
-2.998564, -2.254133
-2.998336, -2.134134
-2.998114, -2.014135
-2.997897, -1.894137
-2.997716, -1.792075
-2.997695, -1.780011
-2.997696, -1.780009
-2.997696, -1.780009
-2.997696, -1.780008
-2.997696, -1.780006
-2.997696, -1.780004
-2.997696, -1.780003
-2.997696, -1.780003
-2.997695, -1.780002
-2.997695, -1.780001
-2.997694, -1.78
-2.997694, -1.779999
-2.997694, -1.779999
-2.997693, -1.779998
-2.997692, -1.779998
-2.99769, -1.779998
-2.997689, -1.779997
-2.997689, -1.779997
-2.99769, -1.779997
-2.99769, -1.779997
-2.997689, -1.779997
-2.997691, -1.771164
-2.997726, -1.673493
-2.997771, -1.55349
-2.997815, -1.433484
-2.99786, -1.313479
-2.997905, -1.193477
-2.997951, -1.073472
-2.997996, -0.9534683
-2.998044, -0.8334653
-2.998092, -0.7134595
-2.998139, -0.593453
-2.998187, -0.4734441
-2.998234, -0.3534378
-2.998281, -0.2334331
-2.998328, -0.113428
-2.998376, 0.006579558
-2.998423, 0.1265872
-2.99847, 0.2465948
-2.998513, 0.3566006
-2.998554, 0.4566068
-2.998594, 0.5566122
-2.998636, 0.6566184
-2.998677, 0.7566261
-2.998718, 0.8566324
-2.99876, 0.956637
-2.998801, 1.056641
-2.998844, 1.156646
-2.998887, 1.256655
-2.998929, 1.356661
-2.998971, 1.45667
-2.999014, 1.556677
-2.999056, 1.656685
-2.999098, 1.756692
-2.999141, 1.856695
-2.999185, 1.956701
-2.999227, 2.05671
-2.999265, 2.156953
-2.99919, 2.257314
-2.999075, 2.357319
-2.998969, 2.457326
-2.998872, 2.557329
-2.998784, 2.657331
-2.998705, 2.757333
-2.998637, 2.857338
-2.998578, 2.957348
-2.998534, 3.057352
-2.998506, 3.158024
-2.998552, 3.259034
-2.998639, 3.359038
-2.998729, 3.459047
-2.998837, 3.559056
